timestamp,preference,outbound,return,trip_days,airline,duration,stops,price_aud,source,jetstar_link,alert
2026-05-28T02:47:23Z,1st preference,2027-04-18,2027-05-02,14,Qantas,20h 30m,0,1004.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-05-28T02:47:23Z,2nd preference,2027-04-16,2027-05-01,15,Qantas,16h 35m,0,1237.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-05-28T23:09:03Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,20h 55m,0,435.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-05-28T23:09:03Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,21h 55m,0,435.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-05-29T23:06:35Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,18h 25m,0,435.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-05-29T23:06:35Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,35h 50m,0,435.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-05-30T22:52:38Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,31h 50m,0,435.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-05-30T22:52:38Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,35h 50m,0,435.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-05-31T22:54:12Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,35h 50m,0,435.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-05-31T22:54:12Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,25h 45m,0,435.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-06-01T23:22:22Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,16h,0,962.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-01T23:22:22Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,35h 50m,0,1076.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-02T23:29:26Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,48h 10m,0,1172.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-02T23:29:26Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,35h 50m,0,1076.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-03T23:28:37Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,23h 45m,0,959.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-03T23:28:37Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,17h 25m,0,1172.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-04T23:03:12Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,28h 5m,0,1195.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-04T23:03:12Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,35h 35m,1,712.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-05T23:00:26Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,22h 40m,1,1045.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-05T23:00:26Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,18h 15m,1,685.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-06T22:56:57Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,31h 30m,1,612.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-06T22:56:57Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,18h 15m,1,685.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-07T22:57:24Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,31h 30m,1,613.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-07T22:57:24Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,18h 15m,1,685.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-08T23:08:54Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,22h 45m,1,612.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-08T23:08:54Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,18h 15m,1,685.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-09T23:14:01Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,22h 45m,1,612.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-09T23:14:01Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,18h 15m,1,685.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-10T23:20:18Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,26h 30m,1,761.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-10T23:20:18Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,18h 15m,1,685.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-11T23:16:17Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,22h 45m,1,772.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-11T23:16:17Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,673.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-12T23:10:09Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,640.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-12T23:10:09Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,673.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-13T22:57:15Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,738.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-13T22:57:15Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,673.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-14T23:01:24Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,640.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-14T23:01:24Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,673.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-15T23:29:27Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,737.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-15T23:29:27Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,16h 15m,1,743.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-16T23:18:45Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,737.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-16T23:18:45Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,20h 25m,1,780.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
